time,ax,ay,az
2019-11-21 14:16:58.7660,-0.0,-0.0,-0.0
2019-11-21 14:16:58.8660,-0.01,0.01,-0.0
2019-11-21 14:16:58.9660,0.02,-0.04,-0.03
2019-11-21 14:16:59.0660,0.02,0.02,-0.01
2019-11-21 14:16:59.1660,-0.03,-0.01,-0.0
2019-11-21 14:16:59.2660,-0.03,0.58,-0.04
2019-11-21 14:16:59.3660,0.01,-0.0,-0.03
2019-11-21 14:16:59.4660,-0.03,-0.03,-0.03
2019-11-21 14:16:59.5660,-0.01,-0.0,0.02
2019-11-21 14:16:59.6660,0.02,0.01,0.1
2019-11-21 14:16:59.7660,-0.06,-0.09,0.06
2019-11-21 14:16:59.8660,0.03,-0.04,-0.19
2019-11-21 14:16:59.9660,-0.07,0.1,0.05
2019-11-21 14:17:00.0670,-0.01,-0.09,-0.06
2019-11-21 14:17:00.1660,0.05,-0.06,-0.12
2019-11-21 14:17:00.2670,-0.08,-0.15,-0.13
2019-11-21 14:17:00.3660,-0.04,-0.02,-0.24
2019-11-21 14:17:00.4670,-1.38,0.42,-0.2
2019-11-21 14:17:00.5670,-0.29,0.2,-0.29
2019-11-21 14:17:00.6670,0.08,-0.33,0.12
2019-11-21 14:17:00.7670,0.81,-0.7,0.23
2019-11-21 14:17:00.8670,0.03,0.2,0.43
2019-11-21 14:17:00.9670,0.04,0.84,-0.12
2019-11-21 14:17:01.0670,-0.65,0.4,-0.49
2019-11-21 14:17:01.1670,-0.42,-0.31,0.43
2019-11-21 14:17:01.2670,-0.11,0.15,0.13
2019-11-21 14:17:01.3670,-0.13,0.03,0.1
2019-11-21 14:17:01.4670,0.58,-0.2,0.7
2019-11-21 14:17:01.5670,-0.17,-0.05,0.08
2019-11-21 14:17:01.6670,0.39,0.29,0.18
2019-11-21 14:17:01.7670,1.32,1.18,-0.07
2019-11-21 14:17:01.8670,0.12,0.15,-0.48
2019-11-21 14:17:01.9670,0.6,-0.56,-0.04
2019-11-21 14:17:02.0680,0.74,-0.15,-0.25
2019-11-21 14:17:02.1680,-0.47,2.16,-0.92
2019-11-21 14:17:02.2670,-2.08,0.92,-0.02
2019-11-21 14:17:02.3670,-1.47,-0.99,0.42
2019-11-21 14:17:02.4680,-0.48,0.15,0.15
2019-11-21 14:17:02.5680,-0.01,0.04,0.07
2019-11-21 14:17:02.6680,0.12,-0.0,-0.01
2019-11-21 14:17:02.7680,0.22,0.44,-0.01
2019-11-21 14:17:02.8680,1.25,0.78,0.02
2019-11-21 14:17:02.9680,1.07,-0.1,-0.1
2019-11-21 14:17:03.0680,1.03,-0.41,-0.05
2019-11-21 14:17:03.1680,0.89,0.1,0.34
2019-11-21 14:17:03.2680,-0.03,0.94,0.63
2019-11-21 14:17:03.3680,-2.75,0.88,0.07
2019-11-21 14:17:03.4680,-1.57,3.34,-0.51
2019-11-21 14:17:03.5680,0.23,0.04,-0.03
2019-11-21 14:17:03.6680,-0.03,-0.02,-0.11
2019-11-21 14:17:03.7680,-0.04,0.05,0.15
2019-11-21 14:17:03.8680,0.25,0.17,-0.03
