time,ax,ay,az
2019-11-21 14:7:11.2740,0.04,-0.03,-0.02
2019-11-21 14:7:11.3740,0.01,0.01,-0.04
2019-11-21 14:7:11.4740,-0.0,-0.0,0.02
2019-11-21 14:7:11.5750,-0.01,-0.0,-0.0
2019-11-21 14:7:11.6750,-0.0,-0.0,-0.01
2019-11-21 14:7:11.7750,-0.05,-0.03,0.02
2019-11-21 14:7:11.8750,-0.07,-0.04,-0.02
2019-11-21 14:7:11.9750,-0.09,-0.06,0.01
2019-11-21 14:7:12.0750,-0.1,-0.07,-0.01
2019-11-21 14:7:12.1750,-0.09,-0.08,-0.04
2019-11-21 14:7:12.2750,-0.09,-0.11,0.04
2019-11-21 14:7:12.3750,-0.07,-0.16,0.05
2019-11-21 14:7:12.4750,-0.11,-0.19,0.03
2019-11-21 14:7:12.5750,-0.01,0.07,0.08
2019-11-21 14:7:12.6750,0.07,0.15,0.13
2019-11-21 14:7:12.7750,0.16,0.16,0.07
2019-11-21 14:7:12.8750,-0.33,-0.53,0.08
2019-11-21 14:7:12.9750,-0.01,-0.1,0.25
2019-11-21 14:7:13.0750,-0.01,-0.2,-0.15
2019-11-21 14:7:13.1750,-0.11,-0.25,-0.23
2019-11-21 14:7:13.2760,-0.01,-0.08,-0.17
2019-11-21 14:7:13.3760,0.02,0.16,-0.15
2019-11-21 14:7:13.4760,-0.38,0.29,0.04
2019-11-21 14:7:13.5760,-0.31,0.23,-0.09
2019-11-21 14:7:13.6760,-0.04,0.25,-0.03
2019-11-21 14:7:13.7760,0.45,0.51,-0.21
2019-11-21 14:7:13.8760,0.15,0.14,-0.35
2019-11-21 14:7:13.9760,0.47,-0.32,0.12
2019-11-21 14:7:14.0760,0.33,-0.71,0.23
2019-11-21 14:7:14.1760,0.29,-0.33,0.23
2019-11-21 14:7:14.2760,0.29,-0.09,0.06
2019-11-21 14:7:14.3760,0.4,0.29,-0.09
2019-11-21 14:7:14.4760,0.24,0.27,-0.18
2019-11-21 14:7:14.5760,-0.21,0.26,-0.3
2019-11-21 14:7:14.6760,-0.41,0.05,-0.04
2019-11-21 14:7:14.7760,-0.6,0.23,-0.0
2019-11-21 14:7:14.8760,-0.23,0.67,-0.05
2019-11-21 14:7:14.9760,0.29,0.68,-0.31
2019-11-21 14:7:15.0760,0.48,0.1,-0.06
2019-11-21 14:7:15.1770,0.3,-0.58,0.21
2019-11-21 14:7:15.2770,0.23,-0.49,0.13
2019-11-21 14:7:15.3770,0.36,-0.25,0.09
2019-11-21 14:7:15.4770,0.4,0.02,-0.02
2019-11-21 14:7:15.5770,0.27,0.12,-0.08
2019-11-21 14:7:15.6770,0.03,0.25,-0.37
2019-11-21 14:7:15.7770,-0.34,0.08,0.1
2019-11-21 14:7:15.8770,-0.52,0.16,0.03
2019-11-21 14:7:15.9770,-0.31,0.6,-0.07
2019-11-21 14:7:16.0770,0.02,0.79,-0.15
2019-11-21 14:7:16.1770,0.29,0.39,-0.09
2019-11-21 14:7:16.2770,0.12,-0.39,-0.09
2019-11-21 14:7:16.3770,0.06,-0.44,0.13
2019-11-21 14:7:16.4770,0.4,-0.28,0.16
2019-11-21 14:7:16.5770,0.57,-0.01,-0.0
2019-11-21 14:7:16.6770,0.19,0.05,-0.09
2019-11-21 14:7:16.7770,0.01,0.08,-0.25
2019-11-21 14:7:16.8770,-0.33,0.01,-0.03
2019-11-21 14:7:16.9770,-0.26,0.06,0.02
2019-11-21 14:7:17.0780,-0.29,0.53,-0.09
2019-11-21 14:7:17.1780,-0.03,0.57,-0.13
2019-11-21 14:7:17.2780,0.19,0.15,-0.09
2019-11-21 14:7:17.3780,0.1,-0.29,-0.1
2019-11-21 14:7:17.4780,0.08,-0.39,0.12
2019-11-21 14:7:17.5780,0.23,-0.23,0.14
2019-11-21 14:7:17.6770,0.38,0.06,0.04
2019-11-21 14:7:17.7770,0.33,0.02,-0.09
2019-11-21 14:7:17.8780,0.14,-0.03,-0.31
2019-11-21 14:7:17.9780,-0.38,-0.0,0.02
2019-11-21 14:7:18.0780,-0.4,0.03,-0.06
2019-11-21 14:7:18.1780,-0.17,0.51,-0.17
2019-11-21 14:7:18.2780,-0.14,0.61,-0.18
2019-11-21 14:7:18.3780,0.13,0.3,-0.15
2019-11-21 14:7:18.4780,-0.05,-0.32,0.12
2019-11-21 14:7:18.5780,0.1,-0.32,0.17
2019-11-21 14:7:18.6780,0.36,-0.14,0.13
2019-11-21 14:7:18.7780,0.34,0.05,0.02
2019-11-21 14:7:18.8780,0.3,0.1,-0.0
2019-11-21 14:7:18.9780,0.06,-0.05,-0.32
2019-11-21 14:7:19.0780,-0.31,-0.14,0.02
2019-11-21 14:7:19.1780,-0.42,0.09,-0.08
2019-11-21 14:7:19.2790,-0.13,0.43,-0.22
2019-11-21 14:7:19.3790,-0.13,0.49,-0.18
2019-11-21 14:7:19.4790,0.16,0.07,-0.05
2019-11-21 14:7:19.5790,-0.08,-0.25,0.06
2019-11-21 14:7:19.6790,0.06,-0.29,0.13
2019-11-21 14:7:19.7790,0.32,-0.18,0.22
2019-11-21 14:7:19.8790,0.54,0.15,0.02
2019-11-21 14:7:19.9790,0.4,0.05,-0.11
2019-11-21 14:7:20.0790,-0.09,-0.0,-0.28
2019-11-21 14:7:20.1790,-0.29,-0.03,0.09
2019-11-21 14:7:20.2790,-0.29,0.05,0.03
2019-11-21 14:7:20.3790,-0.21,0.44,-0.22
2019-11-21 14:7:20.4790,-0.16,0.35,-0.1
2019-11-21 14:7:20.5790,-0.07,0.23,-0.11
2019-11-21 14:7:20.6790,-0.12,-0.26,0.04
2019-11-21 14:7:20.7790,-0.01,-0.21,-0.12
2019-11-21 14:7:20.8790,0.39,-0.27,0.36
2019-11-21 14:7:20.9800,0.57,0.25,0.03
2019-11-21 14:7:21.0800,0.41,0.12,-0.07
2019-11-21 14:7:21.1800,-0.13,-0.04,-0.26
2019-11-21 14:7:21.2800,-0.2,-0.19,0.05
2019-11-21 14:7:21.3800,-0.2,-0.05,-0.01
2019-11-21 14:7:21.4800,-0.26,0.45,-0.15
2019-11-21 14:7:21.5800,-0.22,0.39,-0.21
2019-11-21 14:7:21.6800,-0.01,0.25,-0.01
2019-11-21 14:7:21.7800,-0.18,-0.23,0.07
2019-11-21 14:7:21.8800,0.04,-0.23,0.03
2019-11-21 14:7:21.9800,0.22,-0.09,0.16
2019-11-21 14:7:22.0800,0.59,0.15,-0.06
2019-11-21 14:7:22.1800,0.37,0.0,-0.05
2019-11-21 14:7:22.2800,-0.08,-0.1,-0.25
2019-11-21 14:7:22.3800,-0.33,-0.12,0.15
2019-11-21 14:7:22.4810,-0.18,-0.03,-0.02
2019-11-21 14:7:22.5800,-0.1,0.47,-0.35
2019-11-21 14:7:22.6800,-0.1,0.05,-0.41
2019-11-21 14:7:22.7800,0.02,-0.03,-0.02
2019-11-21 14:7:22.8800,-0.19,-0.21,0.03
2019-11-21 14:7:22.9810,0.02,-0.25,0.09
2019-11-21 14:7:23.0810,0.32,-0.09,0.16
2019-11-21 14:7:23.1810,0.67,0.29,-0.1
2019-11-21 14:7:23.2800,0.38,0.07,0.01
2019-11-21 14:7:23.3810,-0.0,-0.03,-0.26
2019-11-21 14:7:23.4810,-0.35,-0.0,0.01
2019-11-21 14:7:23.5810,-0.43,0.15,-0.11
2019-11-21 14:7:23.6810,-0.22,0.54,-0.2
