time,ax,ay,az
2019-11-21 14:19:45.0560,-0.0,0.0,-0.01
2019-11-21 14:19:45.1560,0.01,0.01,0.03
2019-11-21 14:19:45.2560,0.02,-0.0,-0.01
2019-11-21 14:19:45.3560,0.08,-0.06,0.0
2019-11-21 14:19:45.4560,0.06,0.05,-0.08
2019-11-21 14:19:45.5560,0.22,-0.1,0.07
2019-11-21 14:19:45.6560,0.13,-0.08,-0.03
2019-11-21 14:19:45.7560,0.16,0.02,0.04
2019-11-21 14:19:45.8560,0.25,-0.04,0.11
2019-11-21 14:19:45.9560,0.78,0.43,0.09
2019-11-21 14:19:46.0560,-0.08,0.2,0.34
2019-11-21 14:19:46.1560,-0.09,0.34,0.55
2019-11-21 14:19:46.2560,-0.09,0.5,0.02
2019-11-21 14:19:46.3560,-0.36,0.21,-0.36
2019-11-21 14:19:46.4560,-0.73,-0.3,-0.51
2019-11-21 14:19:46.5560,-0.74,-0.7,-0.29
2019-11-21 14:19:46.6570,-0.59,-0.44,-0.27
2019-11-21 14:19:46.7570,-0.53,-0.09,-0.36
2019-11-21 14:19:46.8560,-0.22,0.41,-0.33
2019-11-21 14:19:46.9570,0.16,0.34,-0.3
2019-11-21 14:19:47.0570,0.36,0.33,-0.07
2019-11-21 14:19:47.1570,0.55,0.51,-0.03
2019-11-21 14:19:47.2570,0.28,0.65,0.15
2019-11-21 14:19:47.3570,-0.18,0.43,-0.07
2019-11-21 14:19:47.4570,-0.23,-0.0,-0.05
2019-11-21 14:19:47.5570,-0.1,-0.37,-0.21
2019-11-21 14:19:47.6570,-0.34,-0.41,-0.1
2019-11-21 14:19:47.7570,-0.65,-0.26,0.16
2019-11-21 14:19:47.8570,-0.6,0.17,-0.09
2019-11-21 14:19:47.9570,-0.24,0.01,-0.12
2019-11-21 14:19:48.0570,0.17,0.01,-0.11
2019-11-21 14:19:48.1570,0.26,0.04,-0.2
2019-11-21 14:19:48.2570,0.35,0.19,-0.09
2019-11-21 14:19:48.3570,0.11,0.54,-0.2
2019-11-21 14:19:48.4570,0.39,0.46,-0.19
2019-11-21 14:19:48.5570,-0.2,0.14,0.21
2019-11-21 14:19:48.6570,0.12,-0.32,-0.11
2019-11-21 14:19:48.7580,-0.1,-0.41,-0.09
2019-11-21 14:19:48.8580,-0.61,-0.25,-0.01
2019-11-21 14:19:48.9580,-0.83,0.12,0.1
2019-11-21 14:19:49.0580,-0.27,-0.0,0.08
2019-11-21 14:19:49.1580,0.01,-0.02,-0.19
2019-11-21 14:19:49.2580,0.18,-0.02,-0.17
2019-11-21 14:19:49.3580,0.34,0.15,-0.18
2019-11-21 14:19:49.4580,0.24,0.52,-0.16
2019-11-21 14:19:49.5580,0.28,0.42,-0.16
2019-11-21 14:19:49.6580,0.22,0.17,0.05
2019-11-21 14:19:49.7580,0.12,-0.1,-0.19
2019-11-21 14:19:49.8580,-0.3,-0.36,-0.16
2019-11-21 14:19:49.9580,-0.62,-0.34,0.0
2019-11-21 14:19:50.0580,-0.81,0.02,-0.13
2019-11-21 14:19:50.1580,-0.4,-0.15,0.15
2019-11-21 14:19:50.2580,-0.12,-0.01,-0.44
2019-11-21 14:19:50.3580,0.14,0.03,-0.25
2019-11-21 14:19:50.4590,0.36,0.08,-0.25
2019-11-21 14:19:50.5590,0.19,0.65,-0.32
2019-11-21 14:19:50.6580,0.27,0.38,-0.04
2019-11-21 14:19:50.7590,0.09,0.19,-0.09
2019-11-21 14:19:50.8590,0.18,-0.16,-0.13
2019-11-21 14:19:50.9590,-0.28,-0.26,-0.14
2019-11-21 14:19:51.0590,-0.52,-0.19,0.13
2019-11-21 14:19:51.1590,-0.57,0.01,-0.16
2019-11-21 14:19:51.2590,-0.66,-0.06,-0.07
2019-11-21 14:19:51.3590,-0.18,-0.05,-0.33
2019-11-21 14:19:51.4590,0.14,0.0,-0.29
2019-11-21 14:19:51.5590,0.29,0.18,-0.24
2019-11-21 14:19:51.6590,0.14,0.59,-0.33
2019-11-21 14:19:51.7590,0.52,0.58,-0.19
2019-11-21 14:19:51.8590,-0.04,0.21,0.18
2019-11-21 14:19:51.9590,0.33,-0.19,-0.06
2019-11-21 14:19:52.0590,-0.05,-0.33,-0.18
2019-11-21 14:19:52.1590,-0.75,-0.29,-0.12
2019-11-21 14:19:52.2590,-0.74,-0.16,0.05
2019-11-21 14:19:52.3600,-0.5,-0.25,0.04
2019-11-21 14:19:52.4600,-0.21,0.05,-0.31
2019-11-21 14:19:52.5600,0.24,0.05,-0.23
2019-11-21 14:19:52.6600,0.44,0.22,-0.05
2019-11-21 14:19:52.7600,0.26,0.54,-0.1
2019-11-21 14:19:52.8600,0.37,0.66,-0.04
2019-11-21 14:19:52.9600,-0.23,0.23,0.08
2019-11-21 14:19:53.0600,0.15,-0.22,-0.13
2019-11-21 14:19:53.1600,-0.05,-0.34,-0.08
2019-11-21 14:19:53.2600,-0.48,-0.33,-0.1
2019-11-21 14:19:53.3600,-0.68,-0.12,-0.02
