time,ax,ay,az
2019-11-21 14:9:03.6320,-0.0,0.02,0.03
2019-11-21 14:9:03.7320,-0.02,0.01,0.04
2019-11-21 14:9:03.8320,0.02,-0.0,-0.02
2019-11-21 14:9:03.9320,0.02,0.01,0.01
2019-11-21 14:9:04.0320,0.01,0.02,0.01
2019-11-21 14:9:04.1320,-0.01,-0.03,-0.08
2019-11-21 14:9:04.2330,0.01,-0.05,-0.0
2019-11-21 14:9:04.3320,0.09,0.04,-0.06
2019-11-21 14:9:04.4330,0.14,-0.18,-0.1
2019-11-21 14:9:04.5330,0.04,-0.02,0.01
2019-11-21 14:9:04.6330,-0.24,-0.26,0.17
2019-11-21 14:9:04.7330,0.18,0.2,0.13
2019-11-21 14:9:04.8330,0.02,-0.26,0.02
2019-11-21 14:9:04.9330,0.02,-0.01,-0.21
2019-11-21 14:9:05.0330,-0.1,-0.01,-0.3
2019-11-21 14:9:05.1330,-0.0,-0.02,0.03
2019-11-21 14:9:05.2330,-0.0,0.05,0.11
2019-11-21 14:9:05.3330,-0.03,-0.0,-0.09
2019-11-21 14:9:05.4330,0.01,0.04,-0.08
2019-11-21 14:9:05.5330,-0.05,-0.02,0.04
2019-11-21 14:9:05.6330,-0.12,-0.0,0.11
2019-11-21 14:9:05.7330,-0.11,-0.01,0.03
2019-11-21 14:9:05.8330,0.14,-0.0,-0.12
2019-11-21 14:9:05.9330,0.45,-0.05,-0.13
2019-11-21 14:9:06.0330,0.41,0.12,-0.13
2019-11-21 14:9:06.1340,0.34,0.27,-0.03
2019-11-21 14:9:06.2340,0.74,0.51,-0.46
2019-11-21 14:9:06.3340,1.08,0.38,-0.7
2019-11-21 14:9:06.4340,1.02,-0.3,-0.32
2019-11-21 14:9:06.5340,0.68,-0.29,-0.02
2019-11-21 14:9:06.6340,-0.31,0.39,0.48
2019-11-21 14:9:06.7340,-1.26,0.85,0.13
2019-11-21 14:9:06.8340,-1.39,0.6,-0.0
2019-11-21 14:9:06.9340,-1.27,0.11,0.0
2019-11-21 14:9:07.0340,-0.18,-0.04,-0.01
2019-11-21 14:9:07.1340,0.17,0.09,0.07
2019-11-21 14:9:07.2340,0.16,0.0,0.02
2019-11-21 14:9:07.3340,0.5,0.34,0.1
2019-11-21 14:9:07.4340,1.19,1.28,-0.25
2019-11-21 14:9:07.5340,0.31,-0.37,-0.1
2019-11-21 14:9:07.6340,0.23,-0.37,-0.21
2019-11-21 14:9:07.7340,0.12,0.44,0.08
2019-11-21 14:9:07.8340,-0.83,1.03,0.73
2019-11-21 14:9:07.9340,-1.74,0.39,0.48
2019-11-21 14:9:08.0340,0.24,0.1,0.09
2019-11-21 14:9:08.1350,0.56,0.03,-0.01
2019-11-21 14:9:08.2350,0.14,0.01,-0.02
2019-11-21 14:9:08.3350,-0.01,0.11,0.03
2019-11-21 14:9:08.4350,0.33,0.3,0.08
2019-11-21 14:9:08.5350,1.33,0.78,-0.19
2019-11-21 14:9:08.6350,0.62,0.39,-0.33
2019-11-21 14:9:08.7350,1.28,-0.27,-0.32
2019-11-21 14:9:08.8350,0.65,-0.1,-0.1
2019-11-21 14:9:08.9350,-0.57,0.79,0.28
2019-11-21 14:9:09.0350,-2.15,0.48,0.25
2019-11-21 14:9:09.1350,0.1,1.88,0.23
2019-11-21 14:9:09.2350,0.36,0.03,-0.08
2019-11-21 14:9:09.3350,-0.03,0.04,0.03
2019-11-21 14:9:09.4350,0.01,0.0,0.1
2019-11-21 14:9:09.5350,0.39,0.37,0.06
2019-11-21 14:9:09.6350,1.64,1.1,-0.5
2019-11-21 14:9:09.7350,-0.0,0.46,-0.29
2019-11-21 14:9:09.8350,1.08,-0.18,-0.26
2019-11-21 14:9:09.9360,0.49,-0.02,0.1
2019-11-21 14:9:10.0350,-0.65,1.12,0.2
2019-11-21 14:9:10.1350,-2.29,0.4,0.43
2019-11-21 14:9:10.2350,-0.1,-0.83,-0.05
2019-11-21 14:9:10.3360,0.17,0.15,-0.01
2019-11-21 14:9:10.4360,0.02,0.03,-0.04
2019-11-21 14:9:10.5360,0.01,-0.03,0.02
2019-11-21 14:9:10.6360,0.45,0.37,0.08
2019-11-21 14:9:10.7360,1.59,1.19,-0.32
2019-11-21 14:9:10.8360,-0.37,0.6,-0.2
2019-11-21 14:9:10.9360,0.79,-0.25,-0.5
2019-11-21 14:9:11.0360,0.5,0.2,-0.26
2019-11-21 14:9:11.1360,-0.75,0.92,0.31
2019-11-21 14:9:11.2360,-1.65,0.46,0.73
2019-11-21 14:9:11.3360,-0.83,-0.9,-0.4
2019-11-21 14:9:11.4360,0.02,0.06,-0.28
2019-11-21 14:9:11.5370,0.11,0.1,0.03
2019-11-21 14:9:11.6360,0.23,0.03,-0.09
2019-11-21 14:9:11.7360,0.51,0.41,0.14
2019-11-21 14:9:11.8360,1.26,1.42,-0.16
2019-11-21 14:9:11.9370,0.25,-0.53,-0.11
2019-11-21 14:9:12.0370,0.16,-0.36,-0.1
2019-11-21 14:9:12.1370,-0.02,0.38,0.05
2019-11-21 14:9:12.2360,-1.59,1.1,0.2
2019-11-21 14:9:12.3370,0.68,0.55,1.65
2019-11-21 14:9:12.4370,-0.62,0.37,0.34
2019-11-21 14:9:12.5370,-0.05,-0.05,-0.12
2019-11-21 14:9:12.6370,0.14,0.07,0.05
2019-11-21 14:9:12.7370,0.33,0.3,0.07
2019-11-21 14:9:12.8370,1.48,0.84,-0.4
2019-11-21 14:9:12.9370,0.06,0.4,-0.04
2019-11-21 14:9:13.0370,1.48,-0.32,-0.47
2019-11-21 14:9:13.1370,0.61,0.01,-0.36
2019-11-21 14:9:13.2370,-0.47,0.81,-0.05
2019-11-21 14:9:13.3370,-2.27,0.38,0.99
2019-11-21 14:9:13.4370,-0.35,-1.25,-0.28
2019-11-21 14:9:13.5370,0.05,0.07,-0.38
2019-11-21 14:9:13.6370,0.27,0.16,0.09
2019-11-21 14:9:13.7370,0.25,0.02,-0.06
2019-11-21 14:9:13.8380,0.72,0.59,0.02
2019-11-21 14:9:13.9370,1.54,1.25,-0.13
2019-11-21 14:9:14.0380,0.48,-0.7,-0.07
2019-11-21 14:9:14.1380,0.15,-0.33,-0.04
2019-11-21 14:9:14.2380,-0.05,0.38,0.15
2019-11-21 14:9:14.3370,-1.78,1.11,0.4
2019-11-21 14:9:14.4380,0.64,0.72,1.04
2019-11-21 14:9:14.5380,-0.52,0.31,0.1
2019-11-21 14:9:14.6380,-0.13,0.05,-0.1
2019-11-21 14:9:14.7380,0.06,-0.07,0.01
2019-11-21 14:9:14.8380,0.34,0.19,-0.01
2019-11-21 14:9:14.9380,1.26,0.67,-0.31
2019-11-21 14:9:15.0380,1.33,0.33,-0.52
2019-11-21 14:9:15.1380,1.4,-0.46,-0.42
