time,ax,ay,az
2019-11-21 14:23:52.4820,-0.01,-0.0,0.01
2019-11-21 14:23:52.5820,0.03,-0.0,0.01
2019-11-21 14:23:52.6820,0.0,0.01,0.0
2019-11-21 14:23:52.7820,-0.01,0.02,0.02
2019-11-21 14:23:52.8820,-0.03,-0.01,0.0
2019-11-21 14:23:52.9830,-0.02,-0.02,-0.01
2019-11-21 14:23:53.0830,-0.0,0.01,0.0
2019-11-21 14:23:53.1830,0.02,0.02,-0.0
2019-11-21 14:23:53.2830,0.03,0.0,-0.03
2019-11-21 14:23:53.3830,-0.02,-0.06,-0.01
2019-11-21 14:23:53.4830,-0.08,0.04,0.1
2019-11-21 14:23:53.5830,-0.16,-0.01,0.26
2019-11-21 14:23:53.6830,0.12,0.13,-0.06
2019-11-21 14:23:53.7830,0.15,0.05,0.02
2019-11-21 14:23:53.8830,-0.01,0.03,-0.11
2019-11-21 14:23:53.9830,-0.03,-0.08,-0.14
2019-11-21 14:23:54.0830,0.07,-0.05,-0.0
2019-11-21 14:23:54.1830,0.02,-0.07,-0.03
2019-11-21 14:23:54.2830,0.01,0.04,0.07
2019-11-21 14:23:54.3830,-0.01,0.04,-0.02
2019-11-21 14:23:54.4830,-0.03,0.15,-0.02
2019-11-21 14:23:54.5830,0.06,0.08,-0.01
2019-11-21 14:23:54.6830,-0.23,0.16,-0.06
2019-11-21 14:23:54.7840,-0.7,0.61,0.33
2019-11-21 14:23:54.8830,-1.17,0.57,-0.16
2019-11-21 14:23:54.9840,-1.01,-0.21,-0.05
2019-11-21 14:23:55.0830,-0.63,-0.11,0.02
2019-11-21 14:23:55.1840,0.2,0.46,0.21
2019-11-21 14:23:55.2840,1.42,1.04,-0.25
2019-11-21 14:23:55.3840,1.76,0.69,0.0
2019-11-21 14:23:55.4840,0.26,0.32,0.05
2019-11-21 14:23:55.5840,0.1,0.15,0.07
2019-11-21 14:23:55.6840,-0.03,0.02,0.07
2019-11-21 14:23:55.7840,-0.06,-0.06,-0.01
2019-11-21 14:23:55.8840,-0.29,0.33,0.3
2019-11-21 14:23:55.9840,-1.4,1.49,0.07
2019-11-21 14:23:56.0840,-0.55,0.91,-0.29
2019-11-21 14:23:56.1840,-0.69,-0.0,-0.04
2019-11-21 14:23:56.2840,-0.12,0.19,0.08
2019-11-21 14:23:56.3850,1.13,1.54,-0.46
2019-11-21 14:23:56.4840,2.31,1.04,-0.43
2019-11-21 14:23:56.5840,0.24,0.37,0.44
2019-11-21 14:23:56.6840,0.05,0.13,0.08
2019-11-21 14:23:56.7850,0.07,0.05,0.15
2019-11-21 14:23:56.8850,-0.12,0.05,-0.04
2019-11-21 14:23:56.9850,-0.4,0.48,0.44
2019-11-21 14:23:57.0850,-2.0,1.08,0.2
2019-11-21 14:23:57.1850,-1.72,-0.51,0.18
2019-11-21 14:23:57.2850,-0.69,-0.19,0.0
2019-11-21 14:23:57.3850,-0.06,0.72,0.19
2019-11-21 14:23:57.4850,2.86,0.89,-0.32
2019-11-21 14:23:57.5850,1.31,0.33,0.31
2019-11-21 14:23:57.6850,-0.26,-0.11,-0.15
2019-11-21 14:23:57.7850,-0.16,-0.09,-0.12
2019-11-21 14:23:57.8850,-0.12,0.09,0.03
