time,ax,ay,az
2019-11-21 14:5:47.1310,-0.0,-0.01,-0.0
2019-11-21 14:5:47.2310,-0.0,-0.0,-0.0
2019-11-21 14:5:47.3310,-0.01,-0.0,-0.02
2019-11-21 14:5:47.4310,-0.0,-0.01,0.0
2019-11-21 14:5:47.5310,-0.0,-0.01,0.01
2019-11-21 14:5:47.6310,-0.0,-0.01,0.01
2019-11-21 14:5:47.7310,0.01,-0.01,0.01
2019-11-21 14:5:47.8310,0.01,-0.01,0.02
2019-11-21 14:5:47.9310,0.0,-0.01,0.02
2019-11-21 14:5:48.0310,0.0,-0.01,-0.02
2019-11-21 14:5:48.1310,0.01,-0.02,-0.03
2019-11-21 14:5:48.2320,-0.01,-0.01,0.03
2019-11-21 14:5:48.3310,-0.02,-0.02,0.02
2019-11-21 14:5:48.4320,-0.06,-0.05,0.02
2019-11-21 14:5:48.5310,-0.03,-0.06,-0.04
2019-11-21 14:5:48.6320,-0.01,-0.07,0.04
2019-11-21 14:5:48.7330,0.06,-0.05,-0.0
2019-11-21 14:5:48.8320,0.02,-0.09,0.01
2019-11-21 14:5:48.9320,0.02,-0.14,0.06
2019-11-21 14:5:49.0320,-0.02,-0.21,0.2
2019-11-21 14:5:49.1320,-0.06,-0.13,0.07
2019-11-21 14:5:49.2320,0.02,-0.18,0.08
2019-11-21 14:5:49.3320,-0.03,0.06,0.01
2019-11-21 14:5:49.4320,-0.37,0.3,0.47
2019-11-21 14:5:49.5320,-0.29,0.46,0.34
2019-11-21 14:5:49.6320,0.26,0.28,-0.34
2019-11-21 14:5:49.7320,0.58,0.49,-0.24
2019-11-21 14:5:49.8330,0.84,0.43,-0.56
2019-11-21 14:5:49.9320,0.2,-0.18,-0.02
2019-11-21 14:5:50.0320,0.5,-0.63,-0.22
2019-11-21 14:5:50.1320,0.19,-0.65,0.06
2019-11-21 14:5:50.2330,0.19,-0.35,0.06
2019-11-21 14:5:50.3320,0.46,0.03,-0.08
2019-11-21 14:5:50.4330,0.43,0.47,-0.31
2019-11-21 14:5:50.5330,-0.09,0.54,-0.32
2019-11-21 14:5:50.6330,-0.43,0.18,-0.06
2019-11-21 14:5:50.7330,-0.54,0.18,0.09
2019-11-21 14:5:50.8330,-0.29,0.37,0.05
2019-11-21 14:5:50.9330,0.09,0.59,-0.16
2019-11-21 14:5:51.0330,0.36,0.17,-0.25
2019-11-21 14:5:51.1330,0.12,-0.15,-0.18
2019-11-21 14:5:51.2330,-0.13,-0.5,0.08
2019-11-21 14:5:51.3330,0.12,-0.35,-0.17
2019-11-21 14:5:51.4330,0.55,-0.07,0.0
2019-11-21 14:5:51.5330,0.4,-0.24,-0.18
2019-11-21 14:5:51.6330,0.27,0.12,-0.2
2019-11-21 14:5:51.7330,-0.22,0.05,-0.19
2019-11-21 14:5:51.8330,-0.4,0.2,-0.02
2019-11-21 14:5:51.9340,-0.33,0.55,-0.05
2019-11-21 14:5:52.0340,-0.03,0.53,-0.04
2019-11-21 14:5:52.1340,0.18,0.18,-0.22
2019-11-21 14:5:52.2340,0.17,-0.23,-0.07
2019-11-21 14:5:52.3340,-0.04,-0.47,0.02
2019-11-21 14:5:52.4340,0.13,-0.48,0.08
2019-11-21 14:5:52.5340,0.54,0.03,-0.05
2019-11-21 14:5:52.6340,0.46,-0.03,-0.23
2019-11-21 14:5:52.7340,-0.03,0.27,-0.2
2019-11-21 14:5:52.8340,-0.34,-0.07,-0.02
2019-11-21 14:5:52.9340,-0.48,0.15,0.06
2019-11-21 14:5:53.0340,-0.1,0.44,-0.11
2019-11-21 14:5:53.1340,0.16,0.73,-0.01
2019-11-21 14:5:53.2340,0.29,0.2,0.11
2019-11-21 14:5:53.3340,-0.18,-0.34,0.02
2019-11-21 14:5:53.4340,-0.13,-0.33,0.07
2019-11-21 14:5:53.5340,0.27,-0.31,0.15
2019-11-21 14:5:53.6340,0.56,0.01,-0.04
2019-11-21 14:5:53.7350,0.29,0.22,-0.18
2019-11-21 14:5:53.8340,-0.16,0.07,-0.15
2019-11-21 14:5:53.9340,-0.31,-0.11,0.0
2019-11-21 14:5:54.0350,-0.47,0.1,0.07
2019-11-21 14:5:54.1350,-0.09,0.57,-0.1
2019-11-21 14:5:54.2340,0.04,0.37,-0.26
2019-11-21 14:5:54.3350,0.32,0.06,-0.08
2019-11-21 14:5:54.4350,0.03,-0.52,0.16
2019-11-21 14:5:54.5350,0.04,-0.52,0.16
2019-11-21 14:5:54.6350,0.44,-0.13,0.2
2019-11-21 14:5:54.7350,0.75,0.42,-0.08
2019-11-21 14:5:54.8350,0.21,0.4,-0.22
2019-11-21 14:5:54.9350,-0.1,-0.01,-0.22
2019-11-21 14:5:55.0350,-0.44,0.06,-0.07
2019-11-21 14:5:55.1350,-0.55,0.3,0.0
2019-11-21 14:5:55.2350,-0.22,0.5,-0.29
