time,ax,ay,az
2019-11-21 14:22:32.0420,0.01,-0.0,0.01
2019-11-21 14:22:32.1420,0.01,-0.0,-0.02
2019-11-21 14:22:32.2420,0.0,-0.0,-0.02
2019-11-21 14:22:32.3420,-0.0,-0.01,-0.01
2019-11-21 14:22:32.4430,0.01,-0.01,0.01
2019-11-21 14:22:32.5420,0.0,0.0,-0.01
2019-11-21 14:22:32.6420,0.0,0.0,-0.02
2019-11-21 14:22:32.7420,0.01,-0.0,0.01
2019-11-21 14:22:32.8420,0.01,-0.0,-0.02
2019-11-21 14:22:32.9420,0.02,-0.0,-0.01
2019-11-21 14:22:33.0420,0.05,-0.02,0.06
2019-11-21 14:22:33.1420,0.02,0.05,-0.06
2019-11-21 14:22:33.2420,0.04,0.03,0.11
2019-11-21 14:22:33.3430,0.02,-0.04,0.07
2019-11-21 14:22:33.4430,-0.12,-0.15,0.03
2019-11-21 14:22:33.5430,-0.09,-0.13,0.17
2019-11-21 14:22:33.6430,-0.21,-0.19,0.33
2019-11-21 14:22:33.7430,-0.05,-0.01,0.15
2019-11-21 14:22:33.8430,0.23,0.18,0.07
2019-11-21 14:22:33.9430,0.06,0.26,-0.03
2019-11-21 14:22:34.0430,-0.21,0.39,-0.24
2019-11-21 14:22:34.1430,-0.42,0.14,-0.4
2019-11-21 14:22:34.2430,-0.55,-0.43,-0.54
2019-11-21 14:22:34.3430,-0.41,-0.59,-0.53
2019-11-21 14:22:34.4430,-0.06,-0.28,-0.3
2019-11-21 14:22:34.5430,-0.13,0.11,-0.13
2019-11-21 14:22:34.6430,-0.14,0.44,0.03
2019-11-21 14:22:34.7430,0.2,0.3,0.22
2019-11-21 14:22:34.8430,0.06,0.28,0.16
2019-11-21 14:22:34.9440,0.62,0.1,0.17
2019-11-21 14:22:35.0430,0.24,0.08,0.04
2019-11-21 14:22:35.1430,-0.16,-0.0,-0.21
2019-11-21 14:22:35.2440,-0.51,0.04,-0.22
2019-11-21 14:22:35.3440,-0.58,-0.28,-0.3
2019-11-21 14:22:35.4440,-0.11,-0.26,-0.16
2019-11-21 14:22:35.5440,0.05,-0.29,-0.04
2019-11-21 14:22:35.6440,0.1,0.04,-0.13
2019-11-21 14:22:35.7440,0.0,0.4,-0.13
2019-11-21 14:22:35.8440,0.27,0.7,-0.01
2019-11-21 14:22:35.9440,-0.05,0.36,0.16
2019-11-21 14:22:36.0440,0.37,0.07,-0.04
2019-11-21 14:22:36.1440,0.21,-0.14,-0.03
2019-11-21 14:22:36.2440,-0.07,-0.15,-0.16
2019-11-21 14:22:36.3440,-0.58,-0.23,-0.15
2019-11-21 14:22:36.4440,-0.52,-0.23,-0.16
2019-11-21 14:22:36.5440,-0.28,0.07,0.06
2019-11-21 14:22:36.6440,0.06,-0.23,0.04
2019-11-21 14:22:36.7440,0.07,-0.12,-0.19
2019-11-21 14:22:36.8440,0.13,0.16,-0.14
2019-11-21 14:22:36.9440,0.16,0.57,-0.2
2019-11-21 14:22:37.0440,0.3,0.47,-0.27
2019-11-21 14:22:37.1440,0.11,0.15,0.09
2019-11-21 14:22:37.2440,0.12,-0.18,-0.1
