time,ax,ay,az
2019-11-30 16:39:45.0360,0.02,0.01,0.01
2019-11-30 16:39:45.1340,-0.01,-0.0,-0.01
2019-11-30 16:39:45.2340,-0.01,-0.01,0.0
2019-11-30 16:39:45.3340,0.01,-0.03,0.01
2019-11-30 16:39:45.4340,0.02,-0.01,0.14
2019-11-30 16:39:45.5340,0.1,-0.08,-0.09
2019-11-30 16:39:45.6340,-0.02,-0.05,0.0
2019-11-30 16:39:45.7340,-0.0,-0.02,0.03
2019-11-30 16:39:45.8340,0.01,0.1,-0.09
2019-11-30 16:39:45.9340,0.04,0.4,0.19
2019-11-30 16:39:46.0340,-0.36,0.21,0.05
2019-11-30 16:39:46.1350,0.69,-0.17,-0.42
2019-11-30 16:39:46.2340,0.71,-0.93,1.72
2019-11-30 16:39:46.3340,-0.64,-0.27,0.24
2019-11-30 16:39:46.4340,-0.59,0.93,-0.59
2019-11-30 16:39:46.5350,0.26,-0.09,0.28
2019-11-30 16:39:46.6350,0.01,-0.29,-0.12
2019-11-30 16:39:46.7340,0.21,1.26,-0.16
2019-11-30 16:39:46.8350,-0.23,0.1,-0.48
2019-11-30 16:39:46.9350,-0.02,-0.17,-0.28
2019-11-30 16:39:47.0350,0.18,-0.32,-0.28
2019-11-30 16:39:47.1350,-0.22,-0.03,0.77
2019-11-30 16:39:47.2350,0.22,-0.66,-0.08
2019-11-30 16:39:47.3350,-0.16,0.24,-0.44
2019-11-30 16:39:47.4350,0.59,0.13,-0.44
2019-11-30 16:39:47.5350,0.18,-0.33,0.1
2019-11-30 16:39:47.6350,0.02,0.06,0.44
2019-11-30 16:39:47.7350,0.46,0.7,0.82
2019-11-30 16:39:47.8360,-0.04,0.28,-0.37
2019-11-30 16:39:47.9350,-0.31,-0.05,-0.47
2019-11-30 16:39:48.0350,0.2,-0.72,-0.52
2019-11-30 16:39:48.1350,0.21,-0.5,-0.23
2019-11-30 16:39:48.2350,-0.32,0.04,-0.05
2019-11-30 16:39:48.3360,0.05,-0.33,-0.7
2019-11-30 16:39:48.4360,0.45,0.2,-0.34
2019-11-30 16:39:48.5360,0.43,-0.25,-0.06
2019-11-30 16:39:48.6360,-0.3,-0.07,0.59
2019-11-30 16:39:48.7360,-0.07,0.46,0.76
2019-11-30 16:39:48.8360,0.56,0.66,-0.3
2019-11-30 16:39:48.9360,-0.11,0.64,-0.78
2019-11-30 16:39:49.0360,-0.17,-0.72,-0.52
2019-11-30 16:39:49.1360,0.01,-0.54,-0.55
2019-11-30 16:39:49.2360,-0.03,0.94,1.22
2019-11-30 16:39:49.3360,-0.07,1.01,-1.08
2019-11-30 16:39:49.4360,-0.01,-0.17,-0.68
2019-11-30 16:39:49.5360,0.35,-0.18,-0.44
2019-11-30 16:39:49.6360,-0.25,-0.03,1.19
2019-11-30 16:39:49.7360,0.01,0.34,0.45
2019-11-30 16:39:49.8360,0.04,0.27,1.27
2019-11-30 16:39:49.9360,0.55,1.17,-0.63
2019-11-30 16:39:50.0360,-0.28,-0.49,-0.4
2019-11-30 16:39:50.1360,0.18,-0.6,-0.61
2019-11-30 16:39:50.2360,-0.27,0.16,1.1
2019-11-30 16:39:50.3360,0.35,-0.62,0.07
2019-11-30 16:39:50.4360,-0.41,0.18,-0.18
2019-11-30 16:39:50.5370,0.15,-0.02,-0.34
2019-11-30 16:39:50.6370,0.3,-0.33,0.17
2019-11-30 16:39:50.7370,0.12,0.16,0.41
2019-11-30 16:39:50.8370,0.61,0.38,0.85
2019-11-30 16:39:50.9370,0.59,0.76,-0.63
2019-11-30 16:39:51.0370,-0.29,-0.1,-0.41
2019-11-30 16:39:51.1370,-0.09,-0.77,-0.83
2019-11-30 16:39:51.2370,0.16,-0.48,-0.13
2019-11-30 16:39:51.3370,0.14,-0.25,-0.33
2019-11-30 16:39:51.4370,0.06,-0.87,-0.54
2019-11-30 16:39:51.5370,0.65,-0.13,-0.55
2019-11-30 16:39:51.6370,0.02,0.14,0.24
2019-11-30 16:39:51.7370,0.09,-0.01,0.48
2019-11-30 16:39:51.8370,-0.05,0.65,0.52
2019-11-30 16:39:51.9370,0.22,0.49,-0.26
2019-11-30 16:39:52.0370,-0.18,0.38,-0.42
2019-11-30 16:39:52.1370,0.21,-0.64,-0.06
2019-11-30 16:39:52.2370,-0.02,-0.4,-0.55
2019-11-30 16:39:52.3370,-0.19,1.29,1.64
2019-11-30 16:39:52.4370,-0.49,1.33,-1.1
2019-11-30 16:39:52.5380,0.1,0.27,-0.57
2019-11-30 16:39:52.6380,0.52,-0.47,-0.2
2019-11-30 16:39:52.7380,-0.3,0.08,1.33
2019-11-30 16:39:52.8380,0.2,0.3,0.65
2019-11-30 16:39:52.9380,-0.03,0.29,1.35
2019-11-30 16:39:53.0380,0.16,0.95,-0.92
2019-11-30 16:39:53.1380,-0.32,-0.61,-0.35
2019-11-30 16:39:53.2380,0.19,-0.61,-0.82
2019-11-30 16:39:53.3380,-0.46,1.15,2.85
2019-11-30 16:39:53.4380,0.16,0.6,-2.22
