time,ax,ay,az
44:30.8,0.26,1.07,-0.72
44:30.9,0.08,-0.75,-0.71
44:31.0,-0.5,-0.49,-0.33
44:31.1,1,1.17,0.9
44:31.2,0.32,0.41,-1.1
44:31.3,-0.03,0.77,-0.67
44:31.4,-0.47,-0.67,-0.15
44:31.5,0.18,0.12,1.22
44:31.6,0.09,0.46,0.59
44:31.7,-0.38,0.68,-0.03
44:31.8,0.21,0.8,-0.73
44:31.9,0.01,-0.63,-0.86
44:32.0,-0.24,-0.6,-0.67
44:32.1,0.96,1.15,0.59
44:32.2,0.43,0.75,-0.76
44:32.3,-0.24,0.31,-0.45
44:32.4,-0.41,-0.6,0.09
44:32.5,0.23,0.14,1.27
44:32.6,-0.16,0.53,0.25
44:32.7,-0.5,0.7,-0.08
44:32.8,0.26,0.68,-0.7
44:32.9,0.12,-0.72,-0.81
44:33.0,-0.31,-0.59,-0.43
44:33.1,0.67,0.8,0.52
44:33.2,0.62,1.03,-0.89
44:33.3,-0.24,0.26,-0.43
44:33.4,-0.4,-0.45,0.11
44:33.5,0.06,0.05,0.69
44:33.6,0.27,0.58,1.04
44:33.7,-0.41,1.1,-0.2
44:33.8,0.22,0.05,-0.65
44:33.9,0.09,-0.92,-1.17
44:34.0,-0.06,-0.09,1.86
44:34.1,-0.45,-0.48,-0.28
44:34.2,0.71,-0.01,-0.74
44:34.3,-0.13,0.47,-0.4
44:34.4,-0.43,-0.31,0.04
44:34.5,-0.03,0.15,0.78
44:34.6,-0.23,0.85,0.4
44:34.7,0.2,0.63,-0.53
44:34.8,0.09,-0.52,-0.53
44:34.9,-0.38,-0.77,-0.51
44:35.0,0.8,1.17,2.54
44:35.1,-0.05,0.67,-0.31
44:35.2,0.23,-0.12,-0.71
44:35.3,-0.48,-0.07,-0.28
44:35.4,-0.16,-0.18,0.6
44:35.5,0.03,0.09,0.42
44:35.6,-0.04,0.69,1.25
44:35.7,0.11,0.87,-0.88
44:35.8,0.09,-0.5,-0.47
44:35.9,-0.48,-0.65,-0.46
44:36.0,0.98,1.25,2.62
44:36.1,0.35,0.69,-1.36
44:36.2,-0.08,0.79,-0.69
44:36.3,-0.61,-0.55,-0.1
44:36.4,0.06,-0.01,0.99
44:36.5,0.01,0.33,0.24
44:36.6,-0.4,0.77,0.22
44:36.7,0.38,1.01,-0.8
44:36.8,-0.03,-0.87,-0.94
44:36.9,-0.46,-0.69,-0.67
44:37.0,0.89,1.14,0.61
44:37.1,0.73,0.93,-0.98
44:37.2,-0.21,0.55,-0.48
44:37.3,-0.45,-0.57,-0.01
44:37.4,0.01,0.02,0.72
44:37.5,0.02,0.58,0.83
44:37.6,-0.23,0.76,-0.2
44:37.7,0.27,0.21,-0.58
44:37.8,-0.07,-0.87,-1.1
44:37.9,-0.32,-0.22,0.47
44:38.0,0.14,-0.37,-0.07
44:38.1,0.26,-0.4,-0.73
44:38.2,-0.35,0.38,-0.31
44:38.3,-0.24,-0.46,0.51
44:38.4,-0.05,0.14,0.41
44:38.5,0.06,0.46,1.02
44:38.6,-0.1,0.75,-0.49
