time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002000,0.5063,-1.3746,0.7953,1.667
0.003000,-0.0631,-1.8853,1.0395,2.154
0.008000,-0.5620,-2.4561,1.2508,2.813
0.013000,-0.8751,-3.0163,1.3609,3.423
0.018000,-0.9313,-3.4377,1.3400,3.805
0.022000,-0.7394,-3.5742,1.2473,3.857
0.027000,-0.3858,-3.3757,1.2959,3.636
0.032000,0.0757,-2.9074,1.6355,3.337
0.037000,0.6040,-2.2905,2.1979,3.231
0.041000,1.0831,-1.6787,2.8503,3.481
0.046000,1.4124,-1.1764,3.4869,3.942
0.051000,1.6349,-0.7898,4.0518,4.440
0.055000,1.8508,-0.4156,4.5780,4.955
0.060000,2.0759,-0.0010,5.0385,5.449
0.065000,2.2544,0.4259,5.3663,5.836
0.070000,2.3497,0.8705,5.5494,6.089
0.074000,2.3210,1.2628,5.6020,6.194
0.079000,2.2079,1.5181,5.5719,6.183
0.084000,2.0875,1.7067,5.4858,6.113
0.089000,1.9568,1.8266,5.4108,6.037
0.094000,1.7888,1.8439,5.3973,5.978
0.101000,1.5758,1.7750,5.3882,5.888
0.103000,1.2883,1.6240,5.3147,5.705
0.108000,0.9327,1.4053,5.1418,5.411
0.113000,0.5512,1.1096,4.8729,5.028
0.118000,0.1379,0.7324,4.5543,4.615
0.122000,-0.2909,0.3243,4.2532,4.275
0.127000,-0.6689,-0.0217,4.0293,4.085
0.132000,-0.9850,-0.2607,3.8731,4.005
0.137000,-1.2378,-0.3838,3.7202,3.939
0.141000,-1.3538,-0.4129,3.5491,3.821
0.146000,-1.3100,-0.3412,3.3361,3.600
0.151000,-1.1763,-0.1660,3.0649,3.287
0.155000,-0.9986,0.0697,2.7883,2.963
0.160000,-0.7564,0.3683,2.5638,2.698
0.165000,-0.4525,0.7460,2.4365,2.588
0.170000,-0.1894,1.1213,2.4535,2.704
0.174000,0.0288,1.3933,2.5924,2.943
0.180000,0.2451,1.5692,2.7167,3.147
0.184000,0.3786,1.6828,2.7310,3.230
0.188000,0.3747,1.7300,2.6334,3.173
0.193000,0.2696,1.6925,2.4627,3.000
0.198000,0.1256,1.5970,2.2788,2.786
0.203000,-0.0029,1.4773,2.0844,2.555
0.207000,-0.1494,1.3554,1.9129,2.349
0.214000,-0.3353,1.2145,1.7786,2.180
0.218000,-0.5057,1.0525,1.6623,2.031
0.222000,-0.6584,0.9101,1.5972,1.953
0.227000,-0.8221,0.7821,1.5999,1.961
0.232000,-0.9655,0.6702,1.7008,2.067
0.237000,-1.0597,0.5785,1.8635,2.220
0.241000,-1.1433,0.5067,1.9303,2.300
0.246000,-1.2571,0.4687,1.8922,2.320
0.251000,-1.3200,0.4996,1.9282,2.390
0.256000,-1.2574,0.6509,2.0614,2.501
0.260000,-1.0999,0.8532,2.0910,2.512
0.265000,-0.9906,0.9975,1.8768,2.345
0.270000,-0.9962,1.0543,1.5081,2.092
0.274000,-1.0470,1.0531,1.1408,1.873
0.281000,-1.0900,1.0473,0.8439,1.731
0.284000,-1.1301,1.0202,0.5958,1.635
0.289000,-1.1555,0.9817,0.3679,1.560
0.293000,-1.1571,0.9648,0.1599,1.515
0.298000,-1.1590,0.9623,-0.0185,1.507
0.303000,-1.1590,0.9524,-0.1747,1.510
0.307000,-1.1526,0.9206,-0.3636,1.519
0.314000,-1.1572,0.8718,-0.6111,1.572
0.318000,-1.1540,0.8250,-0.8788,1.669
0.322000,-1.1219,0.8021,-1.1283,1.782
0.326000,-1.0497,0.8244,-1.3381,1.890
0.331000,-0.9475,0.9038,-1.4915,1.985
0.337000,-0.8513,1.0162,-1.5695,2.054
0.342000,-0.7971,1.1018,-1.5964,2.097
0.346000,-0.7944,1.1107,-1.6103,2.111
0.350000,-0.7856,1.0620,-1.5661,2.049
0.355000,-0.7082,1.0200,-1.4284,1.893
0.360000,-0.5807,1.0063,-1.2358,1.696
0.365000,-0.4213,0.9972,-1.0747,1.525
0.369000,-0.3084,0.9384,-1.0045,1.409
0.374000,-0.3254,0.8087,-1.0059,1.331
0.379000,-0.4292,0.6468,-1.0259,1.286
0.384000,-0.5483,0.5262,-1.0120,1.266
0.389000,-0.6160,0.4868,-0.9310,1.218
0.393000,-0.6420,0.4777,-0.7999,1.131
0.398000,-0.6426,0.4580,-0.6452,1.019
0.403000,-0.6730,0.4185,-0.5911,0.989
0.407000,-0.7740,0.3428,-0.6728,1.081
0.413000,-0.7944,0.2884,-0.7157,1.107
0.417000,-0.6432,0.3535,-0.7035,1.017
