time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.003000,-0.0210,0.0170,-0.0320,0.042
0.003000,-0.1129,-0.0450,-0.0767,0.144
0.003000,-0.1590,-0.0187,-0.0663,0.173
0.004000,-0.1407,0.0336,-0.0490,0.153
0.004000,-0.1012,0.0617,-0.0319,0.123
0.005000,-0.0692,0.0421,-0.0125,0.082
0.010000,-0.0446,-0.0011,0.0162,0.048
0.019000,-0.0179,-0.0225,0.0590,0.066
0.020000,0.0228,-0.0366,0.0918,0.101
0.024000,0.0514,-0.0317,0.1075,0.123
0.029000,0.0608,-0.0125,0.1208,0.136
0.034000,0.0559,-0.0054,0.1385,0.149
0.038000,0.0274,-0.0078,0.1537,0.156
0.043000,0.0111,-0.0150,0.1570,0.158
0.053000,-0.0004,-0.0269,0.1556,0.158
0.057000,-0.0070,-0.0244,0.1471,0.149
0.063000,0.0102,-0.0410,0.1173,0.125
0.067000,0.0273,-0.0527,0.0973,0.114
0.071000,0.0467,-0.0500,0.1084,0.128
0.077000,0.0636,-0.0356,0.1218,0.142
0.081000,0.0734,-0.0236,0.1303,0.151
0.086000,0.0879,-0.0189,0.1387,0.165
0.090000,0.0999,-0.0238,0.1424,0.176
0.098000,0.0953,-0.0239,0.1222,0.157
0.101000,0.0814,-0.0121,0.1022,0.131
0.105000,0.0676,-0.0076,0.0943,0.116
0.110000,0.0539,-0.0079,0.0769,0.094
0.115000,0.0405,-0.0011,0.0621,0.074
0.119000,0.0392,0.0057,0.0545,0.067
0.124000,0.0378,0.0053,0.0493,0.062
0.130000,0.0318,0.0095,0.0396,0.052
0.134000,0.0211,0.0090,0.0394,0.046
0.138000,0.0082,-0.0010,0.0510,0.052
0.144000,0.0002,-0.0180,0.0579,0.061
0.148000,-0.0102,-0.0278,0.0838,0.089
0.152000,-0.0134,-0.0138,0.0928,0.095
0.157000,-0.0284,0.0049,0.0732,0.079
0.163000,-0.0434,0.0092,0.0752,0.087
0.172000,-0.0512,0.0063,0.0747,0.091
0.176000,-0.0612,0.0059,0.0933,0.112
0.182000,-0.0617,-0.0017,0.0832,0.104
0.186000,-0.0457,-0.0116,0.0945,0.106
0.190000,-0.0441,-0.0189,0.1152,0.125
0.199000,-0.0544,-0.0191,0.1049,0.120
0.200000,-0.0528,-0.0240,0.0732,0.093
0.205000,-0.0561,-0.0194,0.0537,0.080
0.209000,-0.0569,-0.0195,0.0485,0.077
0.214000,-0.0578,-0.0220,0.0599,0.086
0.219000,-0.0517,-0.0150,0.0596,0.080
0.223000,-0.0337,-0.0104,0.0472,0.059
0.230000,-0.0325,-0.0082,0.0515,0.061
0.233000,-0.0266,-0.0107,0.0439,0.052
0.238000,-0.0160,-0.0085,0.0246,0.031
0.244000,-0.0055,-0.0229,0.0149,0.028
0.247000,0.0144,-0.0349,0.0291,0.048
0.252000,0.0176,-0.0301,0.0384,0.052
0.257000,0.0254,-0.0158,0.0381,0.048
0.262000,0.0427,0.0007,0.0591,0.073
0.267000,0.0409,0.0004,0.0894,0.098
0.271000,0.0463,-0.0023,0.1030,0.113
0.276000,0.0565,0.0117,0.1068,0.121
0.282000,0.0666,0.0208,0.1036,0.125
0.290000,0.0769,0.0202,0.1028,0.130
0.296000,0.0634,0.0173,0.0949,0.115
0.300000,0.0573,0.0096,0.0846,0.103
0.305000,0.0536,-0.0028,0.0697,0.088
