time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002000,-0.0123,0.1237,0.0488,0.134
0.003000,0.0091,0.0384,0.2405,0.244
0.008000,0.0835,-0.0181,0.3149,0.326
0.013000,0.0430,-0.1461,0.2178,0.266
0.018000,-0.0600,-0.3264,0.0547,0.336
0.027000,-0.0893,-0.4096,-0.0604,0.423
0.032000,-0.0662,-0.4565,-0.1183,0.476
0.037000,0.0009,-0.4346,-0.2948,0.525
0.041000,0.0014,-0.2727,-0.4199,0.501
0.046000,0.0641,-0.0048,-0.4012,0.406
0.051000,0.3131,0.0956,-0.3440,0.475
0.056000,0.5318,0.0520,-0.2174,0.577
0.060000,0.5755,0.0222,-0.1858,0.605
0.065000,0.4661,-0.0040,-0.2368,0.523
0.070000,0.3112,-0.0536,-0.2109,0.380
0.074000,0.1579,-0.0963,-0.1137,0.217
0.080000,0.0168,-0.0948,-0.0364,0.103
0.084000,-0.1008,-0.0758,-0.0125,0.127
0.089000,-0.1596,-0.0702,-0.0059,0.174
0.093000,-0.1649,-0.0511,-0.0405,0.177
0.099000,-0.1312,-0.0133,-0.1112,0.172
0.103000,-0.0653,0.0197,-0.1390,0.155
0.108000,-0.0073,0.0506,-0.1218,0.132
0.114000,0.0292,0.0747,-0.0856,0.117
0.118000,0.0660,0.0875,-0.0615,0.126
0.122000,0.0913,0.0840,-0.0563,0.136
0.127000,0.0863,0.0713,-0.0389,0.119
0.133000,0.0725,0.0589,0.0000,0.093
0.137000,0.0638,0.0467,0.0198,0.082
0.141000,0.0625,0.0320,0.0135,0.071
0.151000,0.0487,0.0291,0.0092,0.057
0.156000,-0.0010,0.0357,-0.0166,0.039
0.160000,-0.0295,0.0184,-0.0282,0.045
0.173000,-0.0463,0.0083,-0.0305,0.056
0.173000,-0.0512,0.0100,-0.0138,0.054
0.174000,-0.0466,0.0047,0.0027,0.047
0.180000,-0.0323,-0.0028,-0.0045,0.033
0.184000,-0.0132,-0.0100,-0.0330,0.037
0.189000,0.0037,-0.0072,-0.0613,0.062
0.194000,-0.0079,-0.0041,-0.0821,0.083
0.198000,-0.0361,-0.0318,-0.1005,0.111
0.203000,-0.0594,-0.0546,-0.0973,0.126
0.208000,-0.0755,-0.0630,-0.1038,0.143
0.213000,-0.0773,-0.0716,-0.0960,0.143
0.218000,-0.0674,-0.0900,-0.0715,0.133
0.222000,-0.0432,-0.0990,-0.0591,0.123
0.228000,-0.0096,-0.1010,-0.0679,0.122
0.232000,0.0192,-0.1033,-0.0694,0.126
0.236000,0.0195,-0.0984,-0.0565,0.115
0.241000,-0.0061,-0.1033,-0.0531,0.116
0.246000,-0.0194,-0.0845,-0.0495,0.100
0.255000,-0.0373,-0.0586,-0.0483,0.085
0.256000,-0.0573,-0.0449,-0.0399,0.083
0.260000,-0.0840,-0.0290,-0.0267,0.093
0.266000,-0.1009,-0.0013,-0.0136,0.102
0.275000,-0.1103,0.0264,0.0114,0.114
0.280000,-0.1623,0.0775,0.0362,0.184
0.284000,-0.1925,0.1000,0.0489,0.222
0.289000,-0.1987,0.1179,0.0354,0.234
0.294000,-0.1954,0.1359,0.0241,0.239
0.298000,-0.2017,0.1470,0.0318,0.252
0.303000,-0.2153,0.1511,0.0417,0.266
0.308000,-0.2312,0.1720,0.0466,0.292
0.313000,-0.2520,0.1857,0.0347,0.315
0.317000,-0.2778,0.1921,0.0275,0.339
0.322000,-0.2987,0.2151,0.0131,0.368
