time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002000,0.0680,-1.1807,-0.2782,1.215
0.003000,0.3455,-0.8845,-0.2290,0.977
0.004000,0.6082,-0.6402,-0.0691,0.886
0.008000,0.7157,-0.5299,0.0694,0.893
0.014000,0.7594,-0.5026,0.1690,0.926
0.018000,0.7606,-0.5522,0.2406,0.970
0.022000,0.7696,-0.6353,0.2447,1.028
0.027000,0.7553,-0.7086,0.2658,1.069
0.032000,0.6801,-0.7864,0.2357,1.066
0.037000,0.6228,-0.8830,0.1160,1.087
0.041000,0.5668,-1.0100,0.0305,1.159
0.051000,0.5821,-1.1655,-0.0516,1.304
0.056000,0.5698,-1.5174,-0.1204,1.625
0.062000,0.5920,-1.6510,-0.1231,1.758
0.066000,0.6177,-1.7560,-0.1095,1.865
0.071000,0.6068,-1.7615,-0.0746,1.865
0.075000,0.5880,-1.6969,-0.0464,1.797
0.080000,0.5589,-1.6459,-0.0386,1.739
0.084000,0.4769,-1.5773,-0.0534,1.649
0.089000,0.4112,-1.4250,-0.1182,1.488
0.094000,0.3162,-1.2652,-0.2607,1.330
0.098000,0.2466,-1.1454,-0.1938,1.188
0.103000,0.2476,-0.9633,-0.0435,0.996
0.108000,0.1927,-0.8142,-0.0443,0.838
0.113000,0.0939,-0.7902,-0.0145,0.796
0.118000,0.0395,-0.7858,0.0481,0.788
0.122000,-0.0089,-0.6964,0.1506,0.713
0.128000,-0.0536,-0.5038,0.2381,0.560
0.132000,-0.1042,-0.3463,0.2587,0.445
0.137000,-0.1945,-0.2402,0.1755,0.355
0.142000,-0.2435,-0.1205,0.0058,0.272
0.146000,-0.3135,-0.0350,-0.1554,0.352
0.151000,-0.3470,-0.0047,-0.2581,0.432
0.155000,-0.2609,-0.0056,-0.1894,0.322
0.163000,-0.1532,-0.0022,-0.0583,0.164
0.171000,-0.0842,-0.0167,-0.0045,0.086
0.175000,-0.0237,-0.2834,0.1314,0.313
0.180000,0.0477,-0.4064,0.1692,0.443
0.184000,0.0114,-0.4654,0.1724,0.496
0.189000,-0.0365,-0.4397,0.1201,0.457
0.194000,0.0612,-0.4299,0.2646,0.508
0.199000,0.1204,-0.3051,0.3532,0.482
0.203000,-0.1563,-0.0064,-0.1474,0.215
0.208000,-0.5869,0.1498,-0.5814,0.840
0.213000,-0.7443,0.1705,-0.7402,1.063
0.217000,-0.4902,0.1580,-0.3049,0.599
0.222000,-0.0287,-0.3268,0.1724,0.371
0.227000,0.0960,-1.5360,0.1234,1.544
0.232000,-0.3065,-2.0571,-0.0454,2.080
0.236000,-0.4975,-1.3641,-0.3582,1.495
0.241000,-0.1368,-0.8078,-0.2656,0.861
0.247000,0.3077,-0.8539,0.1369,0.918
0.251000,0.6717,-0.9494,0.4081,1.232
0.255000,0.7768,-0.9223,0.4849,1.300
0.260000,0.5719,-0.9736,0.4765,1.226
0.268000,0.4072,-0.9817,0.2876,1.101
0.270000,0.3878,-0.9156,-0.0519,0.996
0.274000,0.2227,-0.8853,-0.3211,0.968
0.295000,-0.1922,-0.9336,-0.5771,1.114
0.296000,-0.7261,-0.7811,-0.9747,1.445
0.296000,-1.5818,0.1209,-1.6045,2.256
0.301000,-1.2951,0.5435,-1.5128,2.064
0.303000,-0.4020,0.7354,-1.4451,1.671
0.307000,0.0207,0.4484,-0.8107,0.927
0.313000,0.3205,-0.5867,-1.5989,1.733
0.318000,0.1176,-2.3259,-2.7942,3.637
0.322000,0.4352,-3.0146,-3.9356,4.977
0.327000,1.7767,-3.0514,-4.8355,5.987
0.332000,1.8339,-3.6242,-2.5284,4.784
0.336000,1.1490,-4.2821,0.1555,4.436
0.341000,0.5701,-4.8884,2.0231,5.321
0.346000,0.2481,-5.5667,3.3610,6.507
0.352000,0.0852,-6.1759,3.1181,6.919
0.355000,-0.1568,-6.7231,2.1558,7.062
0.362000,-0.5227,-7.2033,1.2339,7.327
0.365000,-0.8440,-7.6289,0.4924,7.691
0.370000,-1.0813,-7.9977,-0.2758,8.075
0.374000,-1.1660,-8.2170,-0.7743,8.335
0.379000,-0.9617,-8.2208,-0.5176,8.293
0.384000,-0.6570,-8.1867,0.1272,8.214
0.390000,-0.4136,-8.0694,0.8589,8.126
0.394000,-0.1276,-7.8288,1.4294,7.959
0.398000,0.1321,-7.7710,1.4938,7.914
0.407000,0.2007,-7.8713,1.1171,7.953
0.414000,-0.1804,-7.9006,0.5109,7.919
0.417000,-0.1276,-7.8831,-0.2416,7.888
0.421000,0.0387,-7.7043,-0.5961,7.727
0.427000,0.0349,-7.3364,0.3201,7.343
0.432000,0.0572,-6.6297,1.1185,6.724
0.436000,0.5832,-4.9148,1.3867,5.140
0.441000,2.1572,-0.7483,1.7919,2.902
0.446000,5.8928,9.3478,1.5939,11.165
0.451000,10.0148,28.3907,-0.5786,30.111
0.455000,11.4026,51.6117,-3.8620,52.997
0.460000,8.0587,64.9025,-6.5437,65.727
0.465000,-0.3262,58.0918,-6.3564,58.439
